lat,long,time
23.5400583333,87.299005,14:54:51
23.5400116667,87.298975,14:54:52
23.5399616667,87.29894,14:54:53
23.53991,87.2989016667,14:54:54
23.539855,87.29886,14:54:55
23.5398,87.2988216667,14:54:56
23.5397433333,87.2987816667,14:54:57
23.5396866667,87.2987416667,14:54:58
23.5396283333,87.2987016667,14:54:59
23.539565,87.2986633333,14:55:00
23.5395016667,87.298625,14:55:01
23.5394383333,87.298585,14:55:02
23.5393766667,87.298545,14:55:03
23.539315,87.2985033333,14:55:04
23.539255,87.298465,14:55:05
23.5391983333,87.2984266667,14:55:06
23.539145,87.2983883333,14:55:07
23.539095,87.2983533333,14:55:08
23.5390466667,87.29832,14:55:09
23.5389983333,87.29829,14:55:10
23.5389533333,87.2982616667,14:55:11
23.5389116667,87.2982366667,14:55:12
23.538875,87.2982133333,14:55:13
23.5388466667,87.298195,14:55:14
23.53883,87.2981833333,14:55:15
23.5388283333,87.2981866667,14:55:16
23.53883,87.29819,14:55:17
23.53883,87.2981916667,14:55:18
23.5388316667,87.2981916667,14:55:19
23.5388316667,87.2981916667,14:55:20
23.5388316667,87.2981916667,14:55:21
23.5388316667,87.2981916667,14:55:22
23.5388316667,87.2981916667,14:55:23
23.5388316667,87.2981916667,14:55:24
23.5388316667,87.2981916667,14:55:25
23.5388266667,87.2981883333,14:55:26
23.538815,87.2981816667,14:55:27
23.5388033333,87.2981716667,14:55:28
23.53879,87.2981633333,14:55:29
23.5387716667,87.2981516667,14:55:30
23.53875,87.2981366667,14:55:31
23.5387216667,87.2981166667,14:55:32
23.5386916667,87.298095,14:55:33
23.53866,87.2980733333,14:55:34
23.538625,87.29805,14:55:35
23.538585,87.298025,14:55:36
23.5385416667,87.2979966667,14:55:37
23.538495,87.297965,14:55:38
23.538445,87.2979283333,14:55:39
23.5383916667,87.29789,14:55:40
23.5383366667,87.2978516667,14:55:41
23.53828,87.2978133333,14:55:42
23.53822,87.2977766667,14:55:43
23.5381616667,87.29774,14:55:44
23.5381033333,87.2977033333,14:55:45
23.5380483333,87.2976666667,14:55:46
23.5379966667,87.2976266667,14:55:47
23.5379466667,87.2975866667,14:55:48
23.537895,87.2975516667,14:55:49
23.537845,87.2975166667,14:55:50
23.5377983333,87.29749,14:55:51
23.537755,87.2974616667,14:55:52
23.5377166667,87.2974316667,14:55:53
23.5376816667,87.297405,14:55:54
23.5376466667,87.2973783333,14:55:55
23.537615,87.29735,14:55:56
23.5375883333,87.2973183333,14:55:57
23.5375733333,87.297285,14:55:58
23.537565,87.2972483333,14:55:59
23.5375633333,87.2972083333,14:56:00
23.5375666667,87.2971716667,14:56:01
23.5375716667,87.2971383333,14:56:02
23.5375766667,87.2971133333,14:56:03
23.5375833333,87.2970916667,14:56:04
23.53759,87.2970733333,14:56:05
23.5376,87.29705,14:56:06
23.5376116667,87.2970183333,14:56:07
23.5376233333,87.2969816667,14:56:08
23.5376333333,87.29694,14:56:09
23.5376383333,87.2968983333,14:56:10
23.5376366667,87.2968583333,14:56:11
23.537625,87.29682,14:56:12
23.5376083333,87.29679,14:56:13
23.5375866667,87.2967666667,14:56:14
23.5375666667,87.29675,14:56:15
23.5375466667,87.296735,14:56:16
23.5375333333,87.296725,14:56:17
23.5375283333,87.2967233333,14:56:18
23.5375266667,87.2967233333,14:56:19
23.5375266667,87.296725,14:56:20
23.5375266667,87.2967266667,14:56:21
23.5375266667,87.2967266667,14:56:22
23.5375266667,87.2967266667,14:56:23
23.5375266667,87.2967266667,14:56:24
23.5375266667,87.2967266667,14:56:25
23.5375266667,87.2967266667,14:56:26
23.5375266667,87.2967266667,14:56:27
23.5375266667,87.2967266667,14:56:28
23.5375266667,87.2967266667,14:56:29
23.5375266667,87.2967266667,14:56:30
23.5375266667,87.2967266667,14:56:31
23.5375266667,87.2967266667,14:56:32
23.5375266667,87.2967266667,14:56:33
23.53751,87.2967116667,14:56:34
23.537485,87.2966916667,14:56:35
23.537455,87.2966666667,14:56:36
23.53742,87.29664,14:56:37
23.53738,87.2966133333,14:56:38
23.537335,87.2965866667,14:56:39
23.5372833333,87.296555,14:56:40
23.5372283333,87.2965216667,14:56:41
23.5371683333,87.296485,14:56:42
23.5371066667,87.2964483333,14:56:43
23.5370416667,87.2964133333,14:56:44
23.5369816667,87.2963733333,14:56:45
23.5369216667,87.2963316667,14:56:46
23.53686,87.2962933333,14:56:47
23.5368,87.296255,14:56:48
23.5367333333,87.296215,14:56:49
23.5366616667,87.296175,14:56:50
23.5365866667,87.2961383333,14:56:51
23.53651,87.2961016667,14:56:52
23.5364333333,87.2960633333,14:56:53
23.53636,87.2960233333,14:56:54
23.5362916667,87.295985,14:56:55
23.53623,87.29595,14:56:56
23.536175,87.295915,14:56:57
23.5361316667,87.295885,14:56:58
23.5360966667,87.29586,14:56:59
23.536065,87.2958416667,14:57:00
23.5360383333,87.29583,14:57:01
23.5360166667,87.2958216667,14:57:02
23.535995,87.295815,14:57:03
23.5359716667,87.2958133333,14:57:04
23.5359516667,87.295815,14:57:05
23.5359316667,87.2958233333,14:57:06
23.5359133333,87.2958383333,14:57:07
23.5359016667,87.2958583333,14:57:08
23.53589,87.2958833333,14:57:09
23.53588,87.2959033333,14:57:10
23.53587,87.2959216667,14:57:11
23.5358616667,87.2959383333,14:57:12
23.535855,87.295955,14:57:13
23.53584,87.29598,14:57:14
23.535825,87.29601,14:57:15
